No. of Lines, Execution Time without test
100,0.0026068749999999946
1000,0.028779791
2000,0.085127875
3000,0.11279812499999999
4000,0.177291875
5000,0.239732208
6000,0.266634041
7000,0.33092574999999996
8000,0.357238
9000,0.419465208
10000,0.445877
