No. of Lines, Execution Time without test
100,0.0011735410000000002
1000,0.012905665999999996
2000,0.09560645799999999
3000,0.14790808300000002
4000,0.17692316600000002
5000,0.231936625
6000,0.243382541
7000,0.271765125
8000,0.328927625
9000,0.351941791
10000,0.404506541
